"paragraph"	"words"	"characters"	"sentence"
"2283"	174	67	285	"Ita, quae mutat, ea corrumpit, quae sequitur sunt tota Democriti, atomi, inane, imagines, quae [...] nominant, quorum incursione non solum videamus, sed etiam cogitemus; infinitio ipsa, quam [...] vocant, tota ab illo est, tum innumerabiles mundi, qui et oriantur et intereant cotidie."
"2284"	174	24	128	"Quae etsi mihi nullo modo probantur, tamen Democritum laudatum a ceteris ab hoc, qui eum unum secutus esset, nollem vituperatum."
"2285"	175	6	33	"Iam in altera philosophiae parte."
"2286"	175	29	118	"Quae est quaerendi ac disserendi, quae [...] dicitur, iste vester plane, ut mihi quidem videtur, inermis ac nudus est."
"2287"	175	52	310	"Tollit definitiones, nihil de dividendo ac partiendo docet, non quo modo efficiatur concludaturque ratio tradit, non qua via captiosa solvantur ambigua distinguantur ostendit; iudicia rerum in sensibus ponit, quibus si semel aliquid falsi pro vero probatum sit, sublatum esse omne iudicium veri et falsi putat."
"2288"	176	24	113	"Confirmat autem illud vel maxime, quod ipsa natura, ut ait ille, sciscat et probet, id est voluptatem et dolorem."
"2289"	176	11	55	"Ad haec et quae sequamur et quae fugiamus refert omnia."
"2290"	176	22	139	"Quod quamquam Aristippi est a Cyrenaicisque melius liberiusque defenditur, tamen eius modi esse iudico, ut nihil homine videatur indignius."
"2291"	176	15	80	"Ad maiora enim quaedam nos natura genuit et conformavit, ut mihi quidem videtur."
"2292"	176	71	429	"Ac fieri potest, ut errem, sed ita prorsus existimo, neque eum Torquatum, qui hoc primus cognomen invenerit, aut torquem illum hosti detraxisse, ut aliquam ex eo perciperet corpore voluptatem, aut cum Latinis tertio consulatu conflixisse apud Veserim propter voluptatem; quod vero securi percussit filium, privavisse se etiam videtur multis voluptatibus, cum ipsi naturae patrioque amori praetulerit ius maiestatis atque imperii."
"2293"	177	2	5	"Quid?"
"2294"	177	2	2	"T."
"2295"	177	25	113	"Torquatus, is qui consul cum Cn.\ Octavio fuit, cum illam severitatem in eo filio adhibuit, quem in adoptionem D."
"2296"	177	56	351	"Silano emancipaverat, ut eum Macedonum legatis accusantibus, quod pecunias praetorem in provincia cepisse arguerent, causam apud se dicere iuberet reque ex utraque parte audita pronuntiaret eum non talem videri fuisse in imperio, quales eius maiores fuissent, et in conspectum suum venire vetuit, numquid tibi videtur de voluptatibus suis cogitavisse?"
"2297"	178	58	313	"Sed ut omittam pericula, labores, dolorem etiam, quem optimus quisque pro patria et pro suis suscipit, ut non modo nullam captet, sed etiam praetereat omnes voluptates, dolores denique quosvis suscipere malit quam deserere ullam officii partem, ad ea, quae hoc non minus declarant, sed videntur leviora, veniamus."
"2298"	179	27	156	"Quid tibi, Torquate, quid huic Triario litterae, quid historiae cognitioque rerum, quid poetarum evolutio, quid tanta tot versuum memoria voluptatis affert?"
"2299"	179	19	86	"Nec mihi illud dixeris: \"Haec enim ipsa mihi sunt voluptati, et erant illa Torquatis.\""
"2300"	179	19	115	"Numquam hoc ita defendit Epicurus neque Metrodorus aut quisquam eorum, qui aut saperet aliquid aut ista didicisset."
"2301"	179	46	227	"Et quod quaeritur saepe, cur tam multi sint Epicurei, sunt aliae quoque causae, sed multitudinem haec maxime allicit, quod ita putant dici ab illo, recta et honesta quae sint, ea facere ipsa per se laetitiam, id est voluptatem."
"2302"	179	14	75	"Homines optimi non intellegunt totam rationem everti, si ita res se habeat."
"2303"	179	34	170	"Nam si concederetur, etiamsi ad corpus nihil referatur, ista sua sponte et per se esse iucunda, per se esset et virtus et cognitio rerum, quod minime ille vult expetenda."
"2304"	180	8	38	"Haec igitur Epicuri non probo, inquam."
"2305"	180	44	218	"De cetero vellem equidem aut ipse doctrinis fuisset instructior -- est enim, quod tibi ita videri necesse est, non satis politus iis artibus, quas qui tenent, eruditi appellantur -- aut ne deterruisset alios a studiis."
"2306"	180	8	48	"Quamquam te quidem video minime esse deterritum."
"2307"	181	31	172	"Quae cum dixissem, magis ut illum provocarem quam ut ipse loquerer, tum Triarius leniter arridens: Tu quidem, inquit, totum Epicurum paene e philosophorum choro sustulisti."
"2308"	181	16	79	"Quid ei reliquisti, nisi te, quoquo modo loqueretur, intellegere, quid diceret?"
"2309"	181	22	109	"Aliena dixit in physicis nec ea ipsa, quae tibi probarentur; si qua in iis corrigere voluit, deteriora fecit."
"2310"	181	5	31	"Disserendi artem nullam habuit."
"2311"	181	26	131	"Voluptatem cum summum bonum diceret, primum in eo ipso parum vidit, deinde hoc quoque alienum; nam ante Aristippus, et ille melius."
"2312"	181	7	44	"Addidisti ad extremum etiam indoctum fuisse."
"2313"	182	23	96	"Fieri, inquam, Triari, nullo pacto potest, ut non dicas, quid non probes eius, a quo dissentias."
"2314"	182	14	71	"Quid enim me prohiberet Epicureum esse, si probarem, quae ille diceret?"
"2315"	182	7	43	"Cum praesertim illa perdiscere ludus esset."
"2316"	182	29	210	"Quam ob rem dissentientium inter se reprehensiones non sunt vituperandae, maledicta, contumeliae, tum iracundiae, contentiones concertationesque in disputando pertinaces indignae philosophia mihi videri solent."
"2317"	183	23	139	"Tum Torquatus: Prorsus, inquit, assentior; neque enim disputari sine reprehensione nec cum iracundia aut pertinacia recte disputari potest."
"2318"	183	12	49	"Sed ad haec, nisi molestum est, habeo quae velim."
"2319"	183	15	66	"An me, inquam, nisi te audire vellem, censes haec dicturum fuisse?"
"2320"	183	19	108	"Utrum igitur percurri omnem Epicuri disciplinam placet an de una voluptate quaeri, de qua omne certamen est?"
"2321"	183	9	38	"Tuo vero id quidem, inquam, arbitratu."
"2322"	183	38	222	"Sic faciam igitur, inquit: unam rem explicabo, eamque maximam, de physicis alias, et quidem tibi et declinationem istam atomorum et magnitudinem solis probabo et Democriti errata ab Epicuro reprehensa et correcta permulta."
"2323"	183	19	95	"Nunc dicam de voluptate, nihil scilicet novi, ea tamen, quae te ipsum probaturum esse confidam."
"2324"	184	20	93	"Certe, inquam, pertinax non ero tibique, si mihi probabis ea, quae dices, libenter assentiar."
"2325"	184	12	56	"Probabo, inquit, modo ista sis aequitate, quam ostendis."
"2326"	184	10	64	"Sed uti oratione perpetua malo quam interrogare aut interrogari."
"2327"	184	5	18	"Ut placet, inquam."
"2328"	184	5	23	"Tum dicere exorsus est."
"2329"	184	41	196	"Primum igitur, inquit, sic agam, ut ipsi auctori huius disciplinae placet: constituam, quid et quale sit id, de quo quaerimus, non quo ignorare vos arbitrer, sed ut ratione et via procedat oratio."
"2330"	184	29	162	"Quaerimus igitur, quid sit extremum et ultimum bonorum, quod omnium philosophorum sententia tale debet esse, ut ad id omnia referri oporteat, ipsum autem nusquam."
"2331"	184	21	114	"Hoc Epicurus in voluptate ponit, quod summum bonum esse vult, summumque malum dolorem, idque instituit docere sic:"
"2332"	185	41	233	"Omne animal, simul atque natum sit, voluptatem appetere eaque gaudere ut summo bono, dolorem aspernari ut summum malum et, quantum possit, a se repellere, idque facere nondum depravatum ipsa natura incorrupte atque integre iudicante."
"2333"	185	18	103	"Itaque negat opus esse ratione neque disputatione, quam ob rem voluptas expetenda, fugiendus dolor sit."
"2334"	185	15	65	"Sentiri haec putat, ut calere ignem, nivem esse albam, dulce mel."
"2335"	185	12	83	"Quorum nihil oportere exquisitis rationibus confirmare, tantum satis esse admonere."
"2336"	185	13	111	"Interesse enim inter argumentum conclusionemque rationis et inter mediocrem animadversionem atque admonitionem."
"2337"	185	14	84	"Altera occulta quaedam et quasi involuta aperiri, altera prompta et aperta iudicari."
"2338"	185	26	135	"Etenim quoniam detractis de homine sensibus reliqui nihil est, necesse est, quid aut ad naturam aut contra sit, a natura ipsa iudicari."
"2339"	185	19	99	"Ea quid percipit aut quid iudicat, quo aut petat aut fugiat aliquid, praeter voluptatem et dolorem?"
"2340"	186	48	257	"Sunt autem quidam e nostris, qui haec subtilius velint tradere et negent satis esse, quid bonum sit aut quid malum, sensu iudicari, sed animo etiam ac ratione intellegi posse et voluptatem ipsam per se esse expetendam et dolorem ipsum per se esse fugiendum."
"2341"	186	22	141	"Itaque aiunt hanc quasi naturalem atque insitam in animis nostris inesse notionem, ut alterum esse appetendum, alterum aspernandum sentiamus."
"2342"	186	50	309	"Alii autem, quibus ego assentior, cum a philosophis compluribus permulta dicantur, cur nec voluptas in bonis sit numeranda nec in malis dolor, non existimant oportere nimium nos causae confidere, sed et argumentandum et accurate disserendum et rationibus conquisitis de voluptate et dolore disputandum putant."
"2343"	187	36	217	"Sed ut perspiciatis, unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam eaque ipsa, quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt, explicabo."
"2344"	187	66	357	"Nemo enim ipsam voluptatem, quia voluptas sit, aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos, qui ratione voluptatem sequi nesciunt, neque porro quisquam est, qui dolorem ipsum, quia dolor sit, amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt, ut labore et dolore magnam aliquam quaerat voluptatem."
"2345"	187	22	132	"Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur?"
"2346"	187	32	168	"Quis autem vel eum iure reprehenderit, qui in ea voluptate velit esse, quam nihil molestiae consequatur, vel illum, qui dolorem eum fugiat, quo voluptas nulla pariatur?"
"2347"	188	50	299	"At vero eos et accusamus et iusto odio dignissimos ducimus, qui blanditiis praesentium voluptatum deleniti atque corrupti, quos dolores et quas molestias excepturi sint, obcaecati cupiditate non provident, similique sunt in culpa, qui officia deserunt mollitia animi, id est laborum et dolorum fuga."
"2348"	188	10	57	"Et harum quidem rerum facilis est et expedita distinctio."
"2349"	188	35	185	"Nam libero tempore, cum soluta nobis est eligendi optio, cumque nihil impedit, quo minus id, quod maxime placeat, facere possimus, omnis voluptas assumenda est, omnis dolor repellendus."
"2350"	188	23	153	"Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet, ut et voluptates repudiandae sint et molestiae non recusandae."
"2351"	188	22	155	"Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat."
"2352"	189	20	104	"Hanc ego cum teneam sententiam, quid est cur verear, ne ad eam non possim accommodare Torquatos nostros?"
"2353"	189	29	173	"Quos tu paulo ante cum memoriter, tum etiam erga nos amice et benivole collegisti, nec me tamen laudandis maioribus meis corrupisti nec segniorem ad respondendum reddidisti."
"2354"	189	10	50	"Quorum facta quem ad modum, quaeso, interpretaris?"
"2355"	189	32	179	"Sicine eos censes aut in armatum hostem impetum fecisse aut in liberos atque in sanguinem suum tam crudelis fuisse, nihil ut de utilitatibus, nihil ut de commodis suis cogitarent?"
"2356"	189	34	179	"At id ne ferae quidem faciunt, ut ita ruant itaque turbent, ut earum motus et impetus quo pertineant non intellegamus, tu tam egregios viros censes tantas res gessisse sine causa?"
"2357"	190	144	679	"Quae fuerit causa, mox videro; interea hoc tenebo, si ob aliquam causam ista, quae sine dubio praeclara sunt, fecerint, virtutem iis per se ipsam causam non fuisse. -- Torquem detraxit hosti. -- Et quidem se texit, ne interiret. -- At magnum periculum adiit. -- In oculis quidem exercitus. -- Quid ex eo est consecutus? -- Laudem et caritatem, quae sunt vitae sine metu degendae praesidia firmissima. -- Filium morte multavit. -- Si sine causa, nollem me ab eo ortum, tam inportuno tamque crudeli; sin, ut dolore suo sanciret militaris imperii disciplinam exercitumque in gravissimo bello animadversionis metu contineret, saluti prospexit civium, qua intellegebat contineri suam."
"2358"	190	6	28	"Atque haec ratio late patet."
"2359"	191	64	419	"In quo enim maxime consuevit iactare vestra se oratio, tua praesertim, qui studiose antiqua persequeris, claris et fortibus viris commemorandis eorumque factis non emolumento aliquo, sed ipsius honestatis decore laudandis, id totum evertitur eo delectu rerum, quem modo dixi, constituto, ut aut voluptates omittantur maiorum voluptatum adipiscendarum causa aut dolores suscipiantur maiorum dolorum effugiendorum gratia."
"2360"	192	14	82	"Sed de clarorum hominum factis illustribus et gloriosis satis hoc loco dictum sit."
"2361"	192	13	79	"Erit enim iam de omnium virtutum cursu ad voluptatem proprius disserendi locus."
"2362"	192	37	212	"Nunc autem explicabo, voluptas ipsa quae qualisque sit, ut tollatur error omnis imperitorum intellegaturque ea, quae voluptaria, delicata, mollis habeatur disciplina, quam gravis, quam continens, quam severa sit."
"2363"	192	72	411	"Non enim hanc solam sequimur, quae suavitate aliqua naturam ipsam movet et cum iucunditate quadam percipitur sensibus, sed maximam voluptatem illam habemus, quae percipitur omni dolore detracto, nam quoniam, cum privamur dolore, ipsa liberatione et vacuitate omnis molestiae gaudemus, omne autem id, quo gaudemus, voluptas est, ut omne, quo offendimur, dolor, doloris omnis privatio recte nominata est voluptas."
"2364"	192	29	177	"Ut enim, cum cibo et potione fames sitisque depulsa est, ipsa detractio molestiae consecutionem affert voluptatis, sic in omni re doloris amotio successionem efficit voluptatis."
"2365"	193	36	208	"Itaque non placuit Epicuro medium esse quiddam inter dolorem et voluptatem; illud enim ipsum, quod quibusdam medium videretur, cum omni dolore careret, non modo voluptatem esse, verum etiam summam voluptatem."
"2366"	193	21	102	"Quisquis enim sentit, quem ad modum sit affectus, eum necesse est aut in voluptate esse aut in dolore."
"2367"	193	22	156	"Omnis autem privatione doloris putat Epicurus terminari summam voluptatem, ut postea variari voluptas distinguique possit, augeri amplificarique non possit."
"2368"	194	87	386	"At etiam Athenis, ut e patre audiebam facete et urbane Stoicos irridente, statua est in Ceramico Chrysippi sedentis porrecta manu, quae manus significet illum in hae esse rogatiuncula delectatum: \"Numquidnam manus tua sic affecta, quem ad modum affecta nunc est, desiderat?\" -- Nihil sane. -- \"At, si voluptas esset bonum, desideraret.\" -- Ita credo. -- \"Non est igitur voluptas bonum.\""
"2369"	194	12	61	"Hoc ne statuam quidem dicturam pater aiebat, si loqui posset."
"2370"	194	12	68	"Conclusum est enim contra Cyrenaicos satis acute, nihil ad Epicurum."
"2371"	194	40	217	"Nam si ea sola voluptas esset, quae quasi titillaret sensus, ut ita dicam, et ad eos cum suavitate afflueret et illaberetur, nec manus esse contenta posset nec ulla pars vacuitate doloris sine iucundo motu voluptatis."
"2372"	194	42	220	"Sin autem summa voluptas est, ut Epicuro placet, nihil dolere, primum tibi recte, Chrysippe, concessum est nihil desiderare manum, cum ita esset affecta, secundum non recte, si voluptas esset bonum, fuisse desideraturam."
"2373"	194	16	75	"Idcirco enim non desideraret, quia, quod dolore caret, id in voluptate est."
"2374"	195	42	281	"Extremum autem esse bonorum voluptatem ex hoc facillime perspici potest: Constituamus aliquem magnis, multis, perpetuis fruentem et animo et corpore voluptatibus nullo dolore nec impediente nec inpendente, quem tandem hoc statu praestabiliorem aut magis expetendum possimus dicere?"
"2375"	195	46	260	"Inesse enim necesse est in eo, qui ita sit affectus, et firmitatem animi nec mortem nec dolorem timentis, quod mors sensu careat, dolor in longinquitate levis, in gravitate brevis soleat esse, ut eius magnitudinem celeritas, diuturnitatem allevatio consoletur."
"2376"	196	33	188	"Ad ea cum accedit, ut neque divinum numen horreat nec praeteritas voluptates effluere patiatur earumque assidua recordatione laetetur, quid est, quod huc possit, quod melius sit, accedere?"
"2377"	196	39	248	"Statue contra aliquem confectum tantis animi corporisque doloribus, quanti in hominem maximi cadere possunt, nulla spe proposita fore levius aliquando, nulla praeterea neque praesenti nec expectata voluptate, quid eo miserius dici aut fingi potest?"
"2378"	196	27	170	"Quodsi vita doloribus referta maxime fugienda est, summum profecto malum est vivere cum dolore, cui sententiae consentaneum est ultimum esse bonorum eum voluptate vivere."
"2379"	196	37	206	"Nec enim habet nostra mens quicquam, ubi consistat tamquam in extremo, omnesque et metus et aegritudines ad dolorem referuntur, nec praeterea est res ulla, quae sua natura aut sollicitare possit aut angere."
"2380"	197	18	115	"Praeterea et appetendi et refugiendi et omnino rerum gerendarum initia proficiscuntur aut a voluptate aut a dolore."
"2381"	197	20	104	"Quod cum ita sit, perspicuum est omnis rectas res atque laudabilis eo referri, ut cum voluptate vivatur."
"2382"	197	49	211	"Quoniam autem id est vel summum bonorum vel ultimum vel extremum -- quod Graeci [...] nominant --, quod ipsum nullam ad aliam rem, ad id autem res referuntur omnes, fatendum est summum esse bonum iucunde vivere."
"2383"	198	44	281	"Id qui in una virtute ponunt et splendore nominis capti quid natura postulet non intellegunt, errore maximo, si Epicurum audire voluerint, liberabuntur: istae enim vestrae eximiae pulchraeque virtutes nisi voluptatem efficerent, quis eas aut laudabilis aut expetendas arbitraretur?"
"2384"	198	60	335	"Ut enim medicorum scientiam non ipsius artis, sed bonae valetudinis causa probamus, et gubernatoris ars, quia bene navigandi rationem habet, utilitate, non arte laudatur, sic sapientia, quae ars vivendi putanda est, non expeteretur, si nihil efficeret; nunc expetitur, quod est tamquam artifex conquirendae et comparandae voluptatis --"
"2385"	199	19	90	"Quam autem ego dicam voluptatem, iam videtis, ne invidia verbi labefactetur oratio mea --."
"2386"	199	49	344	"Nam cum ignoratione rerum bonarum et malarum maxime hominum vita vexetur, ob eumque errorem et voluptatibus maximis saepe priventur et durissimis animi doloribus torqueantur, sapientia est adhibenda, quae et terroribus cupiditatibusque detractis et omnium falsarum opinionum temeritate derepta certissimam se nobis ducem praebeat ad voluptatem."
"2387"	199	18	95	"Sapientia enim est una, quae maestitiam pellat ex animis, quae nos exhorrescere metu non sinat."
"2388"	199	11	83	"Qua praeceptrice in tranquillitate vivi potest omnium cupiditatum ardore restincto."
"2389"	199	23	144	"Cupiditates enim sunt insatiabiles, quae non modo singulos homines, sed universas familias evertunt, totam etiam labefactant saepe rem publicam."
"2390"	200	67	401	"Ex cupiditatibus odia, discidia, discordiae, seditiones, bella nascuntur, nec eae se foris solum iactant nec tantum in alios caeco impetu incurrunt, sed intus etiam in animis inclusae inter se dissident atque discordant, ex quo vitam amarissimam necesse est effici, ut sapiens solum amputata circumcisaque inanitate omni et errore naturae finibus contentus sine aegritudine possit et sine metu vivere."
"2391"	201	19	96	"Quae est enim aut utilior aut ad bene vivendum aptior partitio quam illa, qua est usus Epicurus?"
"2392"	201	31	180	"Qui unum genus posuit earum cupiditatum, quae essent et naturales et necessariae, alterum, quae naturales essent nec tamen necessariae, tertium, quae nec naturales nec necessariae."
"2393"	201	47	274	"Quarum ea ratio est, ut necessariae nec opera multa nec impensa expleantur; ne naturales quidem multa desiderant, propterea quod ipsa natura divitias, quibus contenta sit, et parabilis et terminatas habet; inanium autem cupiditatum nec modus ullus nec finis inveniri potest."
"2394"	202	60	388	"Quodsi vitam omnem perturbari videmus errore et inscientia, sapientiamque esse solam, quae nos a libidinum impetu et a formidinum terrore vindicet et ipsius fortunae modice ferre doceat iniurias et omnis monstret vias, quae ad quietem et ad tranquillitatem ferant, quid est cur dubitemus dicere et sapientiam propter voluptates expetendam et insipientiam propter molestias esse fugiendam?"
"2395"	203	25	153	"Eademque ratione ne temperantiam quidem propter se expetendam esse dicemus, sed quia pacem animis afferat et eos quasi concordia quadam placet ac leniat."
"2396"	203	16	92	"Temperantia est enim, quae in rebus aut expetendis aut fugiendis ut rationem sequamur monet."
"2397"	203	22	114	"Nec enim satis est iudicare quid faciendum non faciendumve sit, sed stare etiam oportet in eo, quod sit iudicatum."
"2398"	203	74	445	"Plerique autem, quod tenere atque servare id, quod ipsi statuerunt, non possunt, victi et debilitati obiecta specie voluptatis tradunt se libidinibus constringendos nec quid eventurum sit provident ob eamque causam propter voluptatem et parvam et non necessariam et quae vel aliter pararetur et qua etiam carere possent sine dolore tum in morbos gravis, tum in damna, tum in dedecora incurrunt, saepe etiam legum iudiciorumque poenis obligantur."
"2399"	204	39	240	"Qui autem ita frui volunt voluptatibus, ut nulli propter eas consequantur dolores, et qui suum iudicium retinent, ne voluptate victi faciant id, quod sentiant non esse faciendum, ii voluptatem maximam adipiscuntur praetermittenda voluptate."
"2400"	204	17	82	"Idem etiam dolorem saepe perpetiuntur, ne, si id non faciant, incidant in maiorem."
"2401"	204	22	150	"Ex quo intellegitur nec intemperantiam propter se esse fugiendam temperantiamque expetendam, non quia voluptates fugiat, sed quia maiores consequatur."
"2402"	205	5	36	"Eadem fortitudinis ratio reperietur."
"2403"	205	50	290	"Nam neque laborum perfunctio neque perpessio dolorum per se ipsa allicit nec patientia nec assiduitas nec vigiliae nec ea ipsa, quae laudatur, industria, ne fortitudo quidem, sed ista sequimur, ut sine cura metuque vivamus animumque et corpus, quantum efficere possimus, molestia liberemus."
"2404"	205	124	658	"Ut enim mortis metu omnis quietae vitae status perturbatur, et ut succumbere doloribus eosque humili animo inbecilloque ferre miserum est, ob eamque debilitatem animi multi parentes, multi amicos, non nulli patriam, plerique autem se ipsos penitus perdiderunt, sic robustus animus et excelsus omni est liber cura et angore, cum et mortem contemnit, qua qui affecti sunt in eadem causa sunt, qua ante quam nati, et ad dolores ita paratus est, ut meminerit maximos morte finiri, parvos multa habere intervalla requietis, mediocrium nos esse dominos, ut, si tolerabiles sint, feramus, si minus, animo aequo e vita, cum ea non placeat, tamquam e theatro exeamus."
"2405"	205	28	183	"Quibus rebus intellegitur nec timiditatem ignaviamque vituperari nec fortitudinem patientiamque laudari suo nomine, sed illas reici, quia dolorem pariant, has optari, quia voluptatem."
"2406"	206	10	47	"Iustitia restat, ut de omni virtute sit dictum."
"2407"	206	6	30	"Sed similia fere dici possunt."
"2408"	206	121	658	"Ut enim sapientiam, temperantiam, fortitudinem copulatas esse docui cum voluptate, ut ab ea nullo modo nec divelli nec distrahi possint, sic de iustitia iudicandum est, quae non modo numquam nocet cuiquam, sed contra semper afficit cum vi sua atque natura, quod tranquillat animos, tum spe nihil earum rerum defuturum, quas natura non depravata desiderat. [et] quem ad modum temeritas et libido et ignavia semper animum excruciant et semper sollicitant turbulentaeque sunt, sic [inprobitas si] cuius in mente consedit, hoc ipso, quod adest, turbulenta est; si vero molita quippiam est, quamvis occulte fecerit, numquam tamen id confidet fore semper occultum."
"2409"	206	18	102	"Plerumque improborum facta primo suspicio insequitur, dein sermo atque fama, tum accusator, tum iudex;"
"2410"	207	11	49	"Multi etiam, ut te consule, ipsi se indicaverunt."
"2411"	207	35	233	"Quodsi qui satis sibi contra hominum conscientiam saepti esse et muniti videntur, deorum tamen horrent easque ipsas sollicitudines, quibus eorum animi noctesque diesque exeduntur, a diis inmortalibus supplicii causa importari putant."
"2412"	207	28	165	"Quae autem tanta ex improbis factis ad minuendas vitae molestias accessio potest fieri, quanta ad augendas, cum conscientia factorum, tum poena legum odioque civium?"
"2413"	207	42	250	"Et tamen in quibusdam neque pecuniae modus est neque honoris neque imperii nec libidinum nec epularum nec reliquarum cupiditatum, quas nulla praeda umquam improbe parta minuit, [sed] potius inflammat, ut coercendi magis quam dedocendi esse videantur."
"2414"	208	73	417	"Invitat igitur vera ratio bene sanos ad iustitiam, aequitatem, fidem, neque homini infanti aut inpotenti iniuste facta conducunt, qui nec facile efficere possit, quod conetur, nec optinere, si effecerit, et opes vel fortunae vel ingenii liberalitati magis conveniunt, qua qui utuntur, benivolentiam sibi conciliant et, quod aptissimum est ad quiete vivendum, caritatem, praesertim cum omnino nulla sit causa peccandi."
"2415"	209	23	128	"Quae enim cupiditates a natura proficiscuntur, facile explentur sine ulla iniuria, quae autem inanes sunt, iis parendum non est."
"2416"	209	21	130	"Nihil enim desiderabile concupiscunt, plusque in ipsa iniuria detrimenti est quam in iis rebus emolumenti, quae pariuntur iniuria."
"2417"	209	19	113	"Itaque ne iustitiam quidem recte quis dixerit per se ipsam optabilem, sed quia iucunditatis vel plurimum afferat."
"2418"	209	17	101	"Nam diligi et carum esse iucundum est propterea, quia tutiorem vitam et voluptatem pleniorem efficit."
"2419"	209	35	193	"Itaque non ob ea solum incommoda, quae eveniunt inprobis, fugiendam inprobitatem putamus, sed multo etiam magis, quod, cuius in animo versatur, numquam sinit eum respirare, numquam adquiescere."
"2420"	210	63	353	"Quodsi ne ipsarum quidem virtutum laus, in qua maxime ceterorum philosophorum exultat oratio, reperire exitum potest, nisi derigatur ad voluptatem, voluptas autem est sola, quae nos vocet ad se et alliciat suapte natura, non potest esse dubium, quin id sit summum atque extremum bonorum omnium, beateque vivere nihil aliud sit nisi cum voluptate vivere."
"2421"	211	10	70	"Huic certae stabilique sententiae quae sint coniuncta explicabo brevi."
"2422"	211	31	154	"Nullus in ipsis error est finibus bonorum et malorum, id est in voluptate aut in dolore, sed in his rebus peccant, cum e quibus haec efficiantur ignorant."
"2423"	211	85	452	"Animi autem voluptates et dolores nasci fatemur e corporis voluptatibus et doloribus -- itaque concedo, quod modo dicebas, cadere causa, si qui e nostris aliter existimant, quos quidem video esse multos, sed imperitos --, quamquam autem et laetitiam nobis voluptas animi et molestiam dolor afferat, eorum tamen utrumque et ortum esse e corpore et ad corpus referri, nec ob eam causam non multo maiores esse et voluptates et dolores animi quam corporis."
"2424"	211	18	100	"Nam corpore nihil nisi praesens et quod adest sentire possumus, animo autem et praeterita et futura."
"2425"	211	26	153	"Ut enim aeque doleamus animo, cum corpore dolemus, fieri tamen permagna accessio potest, si aliquod aeternum et infinitum impendere malum nobis opinemur."
"2426"	211	17	82	"Quod idem licet transferre in voluptatem, ut ea maior sit, si nihil tale metuamus."
"2427"	212	33	181	"Iam illud quidem perspicuum est, maximam animi aut voluptatem aut molestiam plus aut ad beatam aut ad miseram vitam afferre momenti quam eorum utrumvis, si aeque diu sit in corpore."
"2428"	212	44	277	"Non placet autem detracta voluptate aegritudinem statim consequi, nisi in voluptatis locum dolor forte successerit, at contra gaudere nosmet omittendis doloribus, etiamsi voluptas ea, quae sensum moveat, nulla successerit, eoque intellegi potest quanta voluptas sit non dolere."
"2429"	213	16	78	"Sed ut iis bonis erigimur, quae expectamus, sic laetamur iis, quae recordamur."
"2430"	213	14	105	"Stulti autem malorum memoria torquentur, sapientes bona praeterita grata recordatione renovata delectant."
"2431"	213	19	116	"Est autem situm in nobis ut et adversa quasi perpetua oblivione obruamus et secunda iucunde ac suaviter meminerimus."
"2432"	213	29	132	"Sed cum ea, quae praeterierunt, acri animo et attento intuemur, tum fit ut aegritudo sequatur, si illa mala sint, laetitia, si bona."
"2433"	214	12	68	"O praeclaram beate vivendi et apertam et simplicem et directam viam!"
"2434"	214	42	257	"Cum enim certe nihil homini possit melius esse quam vacare omni dolore et molestia perfruique maximis et animi et corporis voluptatibus, videtisne quam nihil praetermittatur quod vitam adiuvet, quo facilius id, quod propositum est, summum bonum consequamur?"
"2435"	214	34	180	"Clamat Epicurus, is quem vos nimis voluptatibus esse deditum dicitis; non posse iucunde vivi, nisi sapienter, honeste iusteque vivatur, nec sapienter, honeste, iuste, nisi iucunde."
"2436"	215	32	200	"Neque enim civitas in seditione beata esse potest nec in discordia dominorum domus; quo minus animus a se ipse dissidens secumque discordans gustare partem ullam liquidae voluptatis et liberae potest."
"2437"	215	16	111	"Atqui pugnantibus et contrariis studiis consiliisque semper utens nihil quieti videre, nihil tranquilli potest."
"2438"	216	16	110	"Quodsi corporis gravioribus morbis vitae iucunditas impeditur, quanto magis animi morbis impediri necesse est!"
"2439"	216	18	120	"Animi autem morbi sunt cupiditates inmensae et inanes divitiarum, gloriae, dominationis, libidinosarum etiam voluptatum."
"2440"	216	29	193	"Accedunt aegritudines, molestiae, maerores, qui exedunt animos conficiuntque curis hominum non intellegentium nihil dolendum esse animo, quod sit a dolore corporis praesenti futurove seiunctum."
"2441"	216	16	87	"Nec vero quisquam stultus non horum morborum aliquo laborat, nemo igitur est non miser."
"2442"	217	23	127	"Accedit etiam mors, quae quasi saxum Tantalo semper impendet, tum superstitio, qua qui est imbutus quietus esse numquam potest."
"2443"	217	44	267	"Praeterea bona praeterita non meminerunt, praesentibus non fruuntur, futura modo expectant, quae quia certa esse non possunt, conficiuntur et angore et metu maximeque cruciantur, cum sero sentiunt frustra se aut pecuniae studuisse aut imperiis aut opibus aut gloriae."
